,BXM Level (Volatility),Credit Spread Investment Grade,HML,Last_Price (High Yield Credit Spread),Liquidity,Mkt-RF,Momentum,SMB,date,index
575,6.7840225259690676e-06,-5.834027626009064e-06,6.769926330926768e-05,-0.0005841795040256326,0.03722816574965948,-0.0003932231644636977,-0.00117814544697694,0.0014226846674668045,2011-06,PE
576,-6.422283802437316e-05,4.310020934820578e-05,-0.0022623561476225185,-0.003112565325258802,-0.021402714709024773,-7.852765422775021e-05,-0.0030842651781933586,-0.0015111989277326182,2011-07,Equity_russel_3000
577,-7.53899562098765e-05,1.8438475995251856e-05,-0.002953944477096071,-0.0027566967648934466,-0.016690384337744946,0.00013313410180894325,-0.0028913766494607154,-0.0011174093646292918,2011-07,Equity_global_MSCI_ACWI
578,-4.8953732205128035e-06,-2.3233248258582202e-05,-0.00028000487765596216,0.0003646743180432746,0.0012845373235437219,0.00010433847651210304,-0.0011410895228371187,0.00042728089217964824,2011-07,Bond_US_Barclay_ETF
579,9.5584503919348e-07,-1.5783714182192668e-05,-0.0015787251080818243,0.0002526154180263959,0.0131809862746185,0.00011235723536327791,-0.0014127134562255117,-0.0002236100758621247,2011-07,Bond_US_Barclay_TIPS
580,-5.7804042752062474e-05,2.3268364924071438e-05,-0.00584282484523542,-0.0016741713364879264,0.04099928330975322,0.0006060624328449588,-0.003586268095473702,-0.0010919092154040196,2011-07,Bond_US_HighYield_bond_Index
581,-8.137108783947333e-05,8.181414621020772e-05,-0.011453657072084109,-0.004628086459301356,-0.04181925978490386,0.0037920237880112034,-0.008193505370245213,-0.005139965736732116,2011-07,IYR
582,-1.9880837347605268e-05,-1.4259456927467082e-05,-0.0011097566353396454,-0.0004463645742167552,0.006181033490291088,-0.0004438833353644228,0.00032366364186146857,-0.0003014029913784924,2011-07,FOF_Fund of Fund
583,1.4217857770016924e-05,2.7809097689153375e-06,-0.0006748725732781541,-0.0005831296314483467,0.0343804512394128,-0.0001539988821083471,-0.0011036043525175995,0.0010812927849920065,2011-07,PE
584,-6.650349668100132e-05,3.310116119130494e-05,-0.0023520584786446697,-0.0029568002468693746,-0.02183539505263321,8.497697915191976e-05,-0.003042455154309627,-0.0015195702760074786,2011-08,Equity_russel_3000
585,-7.779446242004904e-05,1.1660246250059386e-05,-0.0029631932718375,-0.0026736950591054742,-0.016674287533415155,0.0002452508114602417,-0.002846797247635008,-0.0010882044691077133,2011-08,Equity_global_MSCI_ACWI
586,-3.935006960983814e-06,-1.824744488880222e-05,-0.0002246563412960645,0.0002823524146113414,0.0015640167581143505,2.307396873164197e-05,-0.0011585925971501973,0.00043863979296248495,2011-08,Bond_US_Barclay_ETF
587,2.3662928132560206e-06,-5.267219970845347e-06,-0.0014250283021352561,6.27857005964759e-05,0.013992229289455649,-5.813640972711365e-05,-0.0014379960299917421,-0.00017465375611035172,2011-08,Bond_US_Barclay_TIPS
588,-5.896137053161153e-05,2.4369990199016583e-05,-0.005748343156523533,-0.001728397471026353,0.04155462792537129,0.0005901471670165109,-0.003564232777881718,-0.0010337559752204087,2011-08,Bond_US_HighYield_bond_Index
589,-7.513534736258785e-05,8.648859005007896e-05,-0.011722201135269228,-0.004564875862078613,-0.04348015886462914,0.0037078855534004238,-0.008310826243910906,-0.005346090393752924,2011-08,IYR
590,-2.3012593430976765e-05,-1.5871104155948986e-05,-0.0009582019867472591,-0.0004939929909272278,0.0071075311207310365,-0.0004134115878218214,0.00038268289686340523,-0.00019044500845222245,2011-08,FOF_Fund of Fund
591,1.2854286092395077e-05,-2.1359954817336724e-06,-0.0007044430543403923,-0.0005129042696240017,0.034254937181808,-7.323688803406031e-05,-0.001078466062939945,0.0010870122168786106,2011-08,PE
592,-6.416508017593407e-05,2.1368384929437543e-05,-0.0020522125522724755,-0.002740534460140843,-0.011961148155039347,9.709045049044462e-07,-0.003374390346640617,-0.0009755377873836135,2011-09,Equity_russel_3000
593,-7.566358448964539e-05,-1.7059533002223562e-06,-0.002610823172211757,-0.002438208969592853,-0.006001402119078736,0.00015433601081754622,-0.003201080874460041,-0.0004775405957010599,2011-09,Equity_global_MSCI_ACWI
594,-3.0120558404222834e-06,-1.5211288089691155e-05,-0.0003331494310558625,0.0002575979045053075,0.0006599992068782035,3.1092429615589556e-05,-0.001141098501539102,0.0003239655683631888,2011-09,Bond_US_Barclay_ETF
595,4.534581749561224e-06,-2.3318232999081356e-06,-0.001555723063031908,6.491338831698772e-05,0.014496988405819144,-6.184069070472309e-05,-0.001478199783008026,-0.0002637216178167628,2011-09,Bond_US_Barclay_TIPS
596,-5.611321717163527e-05,1.909680635649424e-05,-0.005649922158714404,-0.0015944929504152962,0.0479344906361413,0.0005362550028517737,-0.0037938663972598707,-0.0007585399426143433,2011-09,Bond_US_HighYield_bond_Index
597,-6.991502702321964e-05,7.399484682589005e-05,-0.011458117731014225,-0.004278820400028367,-0.030015265832333826,0.0035939167780136144,-0.008786506260817603,-0.0047201251061867715,2011-09,IYR
598,-2.303360882133709e-05,-2.011716194734808e-05,-0.0008321507265583034,-0.00043344060112822727,0.009743832021560705,-0.00043602601059704316,0.000301379411117908,-8.379269817051713e-06,2011-09,FOF_Fund of Fund
599,1.1212714727209844e-05,-2.8731080235644294e-06,-0.0006494390967960312,-0.0005358457650951488,0.03294270264504262,-6.245617972390483e-05,-0.0010192604716770387,0.0010906337606142475,2011-09,PE
600,-6.3928803727187e-05,1.666302013686021e-05,-0.0025563022748609776,-0.0027196638781487523,0.005294902499911769,0.0007642454751269137,-0.004067983993258931,-0.0006219854727448765,2011-10,Equity_russel_3000
601,-7.717366574799952e-05,-1.0661289247354392e-05,-0.0030845067310486807,-0.0023991087185707936,0.014626089670518538,0.001048655919869107,-0.0040027878131390915,-7.017845479065365e-05,2011-10,Equity_global_MSCI_ACWI
602,-2.763046548235346e-06,-1.4278607577218627e-05,-0.000306552428795015,0.00025355476093269144,-0.0009165467832034091,-3.5912294191697836e-05,-0.0010818665868292388,0.0002939689211905877,2011-10,Bond_US_Barclay_ETF
603,4.1643228759127154e-06,-3.0086146458650027e-06,-0.001528040482329962,6.778718852572252e-05,0.014459487527031023,-6.722907318891524e-05,-0.001471040801747217,-0.0002676389524315925,2011-10,Bond_US_Barclay_TIPS
604,-5.576078250866157e-05,1.875128048485432e-05,-0.005769986034226543,-0.0015928541918962535,0.051290105375714434,0.0006877730709374252,-0.003933427503431071,-0.0006871778401569967,2011-10,Bond_US_HighYield_bond_Index
605,-6.846477551649094e-05,7.217046714706331e-05,-0.011990291194596991,-0.004270297855523429,-0.01485675701874839,0.004276947383378291,-0.009414785779604792,-0.004398964878263301,2011-10,IYR
606,-2.4709814676665467e-05,-2.534442485989353e-05,-0.0009116666011759755,-0.00041086948844683974,0.016830679901026047,-0.0001404452691505867,4.363352444080454e-05,0.00012171823133831638,2011-10,FOF_Fund of Fund
607,8.257297929014805e-06,-2.2098065040126406e-06,0.00014583742298515667,-0.0005397138025741675,0.012297685932462665,-0.0010025924481985513,-0.00014859640665467605,0.0006448834942454906,2011-10,PE
608,-4.360495000169497e-05,3.869501034373579e-05,-0.002417621227233019,-0.0026190897943927562,0.004579831406803236,-0.00014470106776477698,-0.002706296102701622,-0.0013117676851369664,2011-11,Equity_russel_3000
609,-5.791043769668618e-05,9.113124568318814e-06,-0.002936966173939931,-0.0022876726627775127,0.014374600951191752,0.00017861181758020706,-0.0026958264347383826,-0.0007321534059825906,2011-11,Equity_global_MSCI_ACWI
610,-2.0067113459717447e-06,-1.3711023019627997e-05,-0.00029772529216659516,0.0002609669226272555,-0.0008460702384566199,-7.16812647189452e-05,-0.0010274720402527193,0.0002664339046182414,2011-11,Bond_US_Barclay_ETF
611,5.403106656676183e-06,-4.052162378219643e-06,-0.0014849118968661146,0.00010862280500080826,0.015334164657356597,-0.00014101117970037602,-0.001352854295301062,-0.0003273253735625557,2011-11,Bond_US_Barclay_TIPS
