Date,Equity_russel_3000,Equity_global_MSCI_ACWI,Bond_US_Barclay_ETF,Bond_US_Barclay_TIPS,Bond_US_HighYield_bond_Index,IYR,FOF_Fund of Fund,PE
2007-12,-0.007746691,-0.011884342,0.002808765,-0.001571878,0.002981764,-0.050888005,0.004488897,0.00229283
2008-01,-0.061691853,-0.082628642,0.016798147,0.039597347,-0.013402803,0.001065436,-0.028980293,-0.0012083
2008-02,-0.033106189,0.001297543,0.001387989,0.012298655,-0.011613458,-0.041964405,0.013628128,0.00172156
2008-03,-0.007554036,-0.017332145,0.003411853,-0.000589329,-0.005067453,0.044696829,-0.027084237,0.00091172
2008-04,0.048899487,0.053050908,-0.002089738,-0.021092262,0.041510337,0.058064499,0.010145225,0.00087922
2008-05,0.018440909,0.011609705,-0.00733295,0.003289931,0.004143661,0.008130151,0.017444909,0.01641736
2008-06,-0.084119957,-0.083430045,-0.000808078,0.015333456,-0.026636771,-0.115536016,-0.008541458,-0.02929212
2008-07,-0.009330278,-0.027152504,-0.000815888,-0.005094614,-0.015847951,0.024671037,-0.026572237,-0.0022932
2008-08,0.013506598,-0.023543022,0.009490656,0.00818398,0.003315712,0.018138077,-0.015280208,0.00054645
2008-09,-0.09669432,-0.126832736,-0.013431629,-0.038320258,-0.083242575,-0.010821716,-0.065362314,-0.00725663
2008-10,-0.177833416,-0.199056956,-0.023604209,-0.086909365,-0.162535089,-0.313155799,-0.062181304,-0.00296314
2008-11,-0.081761876,-0.068019144,0.032549849,0.00707535,-0.08397622,-0.215511101,-0.026412126,-0.00053746
2008-12,0.016340309,0.034673938,0.037309174,0.049641026,0.075857055,0.143880537,-0.014886747,-0.02270941
2009-01,-0.085170895,-0.086349262,-0.008823327,0.016855579,0.053224443,-0.158205752,0.007123942,0.00012671
2009-02,-0.107882257,-0.100230747,-0.003774449,-0.01965118,-0.03346282,-0.197830255,-0.003714213,-0.00052171
2009-03,0.085341766,0.079446492,0.013901367,0.058468928,0.033995179,0.035550664,0.000270687,-0.12178823
2009-04,0.103591073,0.114828747,0.004780909,-0.018659999,0.112688391,0.296150851,0.010537712,-0.00362797
2009-05,0.050775178,0.095231753,0.007253461,0.021043692,0.069632814,0.022727296,0.033242094,0.00159324
2009-06,0.001626919,-0.00725607,0.00568768,0.004574861,0.029660812,-0.024862972,0.003796425,-0.0265737
2009-07,0.076434792,0.086729277,0.016129685,0.000736004,0.060015481,0.105798892,0.015364226,-0.00253236
2009-08,0.033474377,0.033666491,0.010354401,0.008779591,0.020380122,0.13193874,0.010943548,0.00068442
2009-09,0.040294718,0.044093057,0.010504657,0.021051672,0.058418048,0.060913742,0.017371634,0.02622115
2009-10,-0.026795917,-0.016154301,0.004937517,0.012272403,0.017325801,-0.04968359,-0.000894739,-0.00027188
2009-11,0.054338042,0.039208748,0.01294666,0.02781819,0.009981294,0.070776791,0.007975733,0.00641116
2009-12,0.026869423,0.019647904,-0.015631391,-0.021918161,0.029996473,0.069058328,0.007578335,0.04568186
2010-01,-0.036960505,-0.043781726,0.015275848,0.016094374,0.015222329,-0.054224696,-0.003687351,0.00367556
2010-02,0.031653976,0.011071142,0.003734326,-0.011566681,0.001471114,0.054570545,0.001307646,0.00688199
2010-03,0.061396154,0.061830743,-0.001229526,0.001309929,0.031231085,0.097484785,0.016552769,0.02183895
2010-04,0.020617377,-0.000162655,0.010409624,0.023678702,0.021753077,0.063881081,0.009002619,0.00013755
2010-05,-0.080945776,-0.098194241,0.008414873,-4.26E-05,-0.034412606,-0.056835301,-0.025954791,0.00194477
2010-06,-0.059005629,-0.032182415,0.015681438,0.014228508,0.013449011,-0.046701213,-0.008857427,0.02349602
2010-07,0.068216267,0.080149115,0.010668853,0.001470094,0.03460539,0.094047921,0.00770388,-0.00246065
2010-08,-0.049138475,-0.036893874,0.012867501,0.017237764,0.00233649,-0.012971953,0.001268099,0.00054453
2010-09,0.092747979,0.093528273,0.001065694,0.006019626,0.02934821,0.046296738,0.023465845,0.00272585
2010-10,0.037969611,0.0353585,0.00356056,0.026516393,0.023945745,0.039334296,0.01480856,0.00155762
2010-11,0.003640916,-0.023959487,-0.005747402,-0.016928175,-0.011275801,-0.015829688,-0.000978371,0.00502398
2010-12,0.066237976,0.072183669,-0.01078367,-0.015473338,0.017177424,0.045740618,0.022048653,0.0508535
2011-01,0.020894534,0.014940721,0.001163854,0.001938784,0.02075235,0.035739802,0.001456419,-0.00625041
2011-02,0.034372777,0.027534418,0.002501506,0.008604718,0.013243381,0.045203643,0.008340223,0.00185141
2011-03,0.00304505,-0.003422075,0.000552479,0.010123275,0.004090308,-0.010934617,-0.000950874,0.05224207
2011-04,0.028733385,0.038586893,0.012693944,0.025135375,0.015045751,0.046632946,0.012214836,0.009185
